Age;3H;3He(trit);3Ho;3H/3Ho;SF6
87;4,54775895;32,46140986;37,00824001;0,134753228;0,600254093
88;4,530737612;32,44083599;36,97063829;0,134753228;0,589502535
89;4,513594329;32,41733633;36,92998569;0,134753228;0,578987494
90;4,496335435;32,39099426;36,88637842;0,134753228;0,568702535
91;4,478966623;32,36190037;36,83990995;0,134753228;0,55864144
92;4,461493406;32,33012984;36,79066008;0,134753228;0,5487982
93;4,443921124;32,29576845;36,73872083;0,134753228;0,539167002
94;4,42625495;32,25889001;36,68416705;0,134753228;0,529742225
95;4,408499458;32,21956615;36,6270823;0,134753228;0,520518431
96;4,390660383;32,17787607;36,56754782;0,134753228;0,511490357
97;4,372741993;32,13388403;36,50563172;0,134753228;0,50265291
98;4,354748853;32,0876652;36,44141096;0,134753228;0,494001158
99;4,336685388;32,03928;36,37496042;0,134753228;0,485530327
100;4,341391874;32,02570938;36,36673113;0,134753228;0,473604419
101;4,323055134;31,97263696;36,29532396;0,134753228;0,465534356
102;4,304660359;31,91759252;36,22188676;0,134753228;0,457630873
103;4,286211917;31,86063603;36,14647982;0,134753228;0,44988978
104;4,267712807;31,80182581;36,06917252;0,134753228;0,442307015
105;4,249167574;31,74121863;35,99001814;0,134753228;0,43487864
106;4,230579009;31,67886974;35,90908275;0,134753228;0,427600835
107;4,211951024;31,61483295;35,82642003;0,134753228;0,420469896
108;4,193287427;31,54916062;35,74208219;0,134753228;0,413482229
109;4,17459071;31,48190374;35,65613068;0,134753228;0,406634346
110;4,155864483;31,41311199;35,56861122;0,134753228;0,399922863
111;4,137112258;31,34283373;35,47958243;0,134753228;0,393344493
112;4,118336261;31,27111607;35,38909086;0,134753228;0,386896048
113;4,099539825;31,19800491;35,29718185;0,134753228;0,380574429
114;4,080725802;31,12354499;35,20391;0,134753228;0,374376628
115;4,061897356;31,04778296;35,10931814;0,134753228;0,368299722
116;4,043056387;30,9707551;35,01344792;0,134753228;0,362340872
117;4,024205901;30,89250588;34,91635035;0,134753228;0,356497319
118;4,005348826;30,81307566;34,81806478;0,134753228;0,350766382
119;3,986486849;30,73250375;34,71862955;0,134753228;0,345145453
120;3,967622752;30,65082848;34,61809231;0,134753228;0,339631998
121;3,948759246;30,56808723;34,5164893;0,134753228;0,334223554
122;3,929897825;30,48431643;34,4138592;0,134753228;0,328917724
123;3,911041064;30,39955465;34,31023632;0,134753228;0,323712177
124;3,892191476;30,31383047;34,20566431;0,134753228;0,318604646
125;3,873350377;30,22718072;34,10017558;0,134753228;0,313592924
126;3,854520157;30,13963835;33,99380511;0,134753228;0,308674865
127;3,835702769;30,05123551;33,88658701;0,134753228;0,303848379
128;3,816900486;29,96200655;33,77855115;0,134753228;0,299111432
129;3,798114408;29,87197607;33,66973672;0,134753228;0,294462045
130;3,779346698;29,78117691;33,56017197;0,134753228;0,28989829
131;3,760599462;29,68963819;33,44988776;0,134753228;0,28541829
132;3,74187366;29,59739125;33,33891418;0,134753228;0,281020216
133;3,723171298;29,50445791;33,22728059;0,134753228;0,276702289
134;3,704494328;29,41086817;33,11501562;0,134753228;0,272462773
135;3,685843581;29,31665134;33,00214721;0,134753228;0,268299978
136;3,667220919;29,22182731;32,88870262;0,134753228;0,264212257
137;3,648627799;29,12642415;32,77470516;0,134753228;0,260198006
138;3,630065992;29,03046929;32,66018733;0,134753228;0,25625566
139;3,611536168;28,93398085;32,54517116;0,134753228;0,252383695
140;3,593040012;28,8369851;32,42968134;0,134753228;0,248580624
141;3,574579166;28,73950771;32,31374197;0,134753228;0,244844997
142;3,556154195;28,64156519;32,19737977;0,134753228;0,241175402
143;3,537766664;28,543185;32,08061125;0,134753228;0,23757046
144;3,519417756;28,44438261;31,96346201;0,134753228;0,234028827
145;3,501108957;28,34518442;31,84595389;0,134753228;0,230549191
146;3,482840702;28,24560496;31,72810822;0,134753228;0,227130274
147;3,464614408;28,1456696;31,60994579;0,134753228;0,223770826
148;3,446431121;28,04539195;31,49148689;0,134753228;0,220469631
149;3,42829219;27,94479643;31,37275133;0,134753228;0,2172255
150;3,410197929;27,84389855;31,25376156;0,134753228;0,214037273
151;3,392149624;27,74271345;31,13453016;0,134753228;0,210903816
152;3,374148523;27,64126416;31,01507869;0,134753228;0,207824026
153;3,356194869;27,53956222;30,89542509;0,134753228;0,204796824
154;3,33828985;27,43762979;30,77558995;0,134753228;0,201821154
155;3,320434304;27,33548036;30,65558422;0,134753228;0,19889599
156;3,302629362;27,23312708;30,53542766;0,134753228;0,196020325
157;3,284875169;27,1305909;30,41513653;0,134753228;0,193193179
158;3,267172801;27,02788421;30,29472976;0,134753228;0,190413593
159;3,249522992;26,92502177;30,17421676;0,134753228;0,18768063
160;3,231926764;26,82201798;30,0536187;0,134753228;0,184993377
161;3,214384176;26,71888425;29,9329443;0,134753228;0,18235094
162;3,196896202;26,61563964;29,81221098;0,134753228;0,179752444
163;3,179464085;26,51229486;29,69143572;0,134753228;0,177197037
164;3,162087803;26,40886301;29,57062627;0,134753228;0,174683884
165;3,144767953;26,30535684;29,44980193;0,134753228;0,172212171
166;3,12750511;26,2017888;29,3289698;0,134753228;0,1697811
167;3,11029983;26,09817104;29,20814849;0,134753228;0,167389893
168;3,093152648;25,99451544;29,08734743;0,134753228;0,165037788
169;3,076064077;25,89083355;28,96657582;0,134753228;0,16272404
170;3,059034615;25,78713669;28,84585124;0,134753228;0,160447922
171;3,042064737;25,68343585;28,7251823;0,134753228;0,15820872
172;3,025154903;25,57974181;28,60457733;0,134753228;0,15600574
173;3,008305551;25,47606504;28,484053;0,134753228;0,1538383
174;2,991517106;25,37241578;28,36361708;0,134753228;0,151705733
175;2,974789972;25,26880402;28,24327715;0,134753228;0,149607388
176;2,958124539;25,16523948;28,12304899;0,134753228;0,147542629
177;2,94152118;25,06173168;28,00293962;0,134753228;0,14551083
178;2,92498025;24,95829236;27,88295868;0,134753228;0,143511381
179;2,908502091;24,85492556;27,76311554;0,134753228;0,141543686
180;2,892087029;24,7516426;27,64341932;0,134753228;0,139607161
181;2,875735375;24,64845207;27,52387619;0,134753228;0,137701232
182;2,859447425;24,5453648;27,40450032;0,134753228;0,135825341
183;2,843223462;24,44238403;27,28529741;0,134753228;0,133978939
184;2,827063753;24,33952019;27,16627567;0,134753228;0,132161491
185;2,810968554;24,23678347;27,04744313;0,134753228;0,130372471
186;2,794938108;24,13417657;26,92880759;0,134753228;0,128611365
187;2,778972641;24,03171169;26,81037664;0,134753228;0,12687767
188;2,763072372;23,92939121;26,69215769;0,134753228;0,125170893
189;2,747237504;23,82722454;26,5741606;0,134753228;0,123490551
190;2,731468228;23,72522085;26,45638704;0,134753228;0,121836173
191;2,715764726;23,62338205;26,33884651;0,134753228;0,120207294
192;2,700127166;23,52171932;26,22154564;0,134753228;0,118603463
193;2,684555706;23,42023661;26,10449089;0,134753228;0,117024234
194;2,669050493;23,31893771;25,98768854;0,134753228;0,115469174
195;2,653611663;23,21783326;25,87114728;0,134753228;0,113937855
196;2,638239341;23,11692443;25,75486787;0,134753228;0,112429861
197;2,622933644;23,01622151;25,63885868;0,134753228;0,110944782
198;2,607694677;22,91572767;25,52312787;0,134753228;0,109482218
199;2,592522535;22,81544828;25,40767578;0,134753228;0,108041776
200;2,577417307;22,71538628;25,29251027;0,134753228;0,106623072
201;2,562379068;22,61555129;25,177639;0,134753228;0,105225728
202;2,547407887;22,51594595;25,06306192;0,134753228;0,103849374
203;2,532503825;22,41657506;24,94878891;0,134753228;0,10249365
204;2,517666931;22,31744327;24,83481968;0,134753228;0,101158199
205;2,502897248;22,2185529;24,72116377;0,134753228;0,099842673
206;2,488194812;22,1199128;24,60782067;0,134753228;0,098546732
207;2,473559647;22,02152499;24,4947996;0,134753228;0,097270041
208;2,458991774;21,92339365;24,38210226;0,134753228;0,096012272
209;2,444491203;21,82552279;24,26973027;0,134753228;0,094773103
210;2,430057937;21,72791633;24,15769241;0,134753228;0,09355222
211;2,415691973;21,63057807;24,04599003;0,134753228;0,092349313
212;2,401393301;21,53351169;23,93462442;0,134753228;0,09116408
213;2,387161903;21,4367229;23,82360392;0,134753228;0,089996222
214;2,372997754;21,34021088;23,71292957;0,134753228;0,088845448
215;2,358900825;21,24398113;23,6026047;0,134753228;0,087711473
216;2,344871077;21,14803691;23,49263252;0,134753228;0,086594016
217;2,330908467;21,05238138;23,38301382;0,134753228;0,085492802
218;2,317012945;20,95701758;23,27375627;0,134753228;0,084407561
