# Date, 3H, SF6
1900,3.0,0.0
1901,3.0,0.0
1902,3.0,0.0
1903,3.0,0.0
1904,3.0,0.0
1905,3.0,0.0
1906,3.0,0.0
1907,3.0,0.0
1908,3.0,0.0
1909,3.0,0.0
1910,3.0,0.0
1911,3.0,0.0
1912,3.0,0.0
1913,3.0,0.0
1914,3.0,0.0
1915,3.0,0.0
1916,3.0,0.0
1917,3.0,0.0
1918,3.0,0.0
1919,3.0,0.0
1920,3.0,0.0
1921,3.0,0.0
1922,3.0,0.0
1923,3.0,0.0
1924,3.0,0.0
1925,3.0,0.0
1926,3.0,0.0
1927,3.0,0.0
1928,3.0,0.0
1929,3.0,0.0
1930,3.0,0.0
1931,3.0,0.0
1932,3.0,0.0
1933,3.0,0.0
1934,3.0,0.0
1935,3.0,0.0
1936,3.0,0.0
1937,3.0,0.0
1938,3.0,0.0
1939,3.0,0.0
1940,3.0,0.0
1941,3.0,0.0
1942,3.0,0.0
1943,3.0,0.0
1944,3.0,0.0
1945,3.0,0.0
1946,3.0,0.0
1947,3.0,0.0
1948,3.0,0.0
1949,3.0,0.0
1950,3.0,0.0
1951,3.0,0.0
1952,3.0,0.0132540985
1953,5.75,0.054494520500000004
1954,83.58333335,0.055
1955,16.5,0.055494520500000005
1956,48.33333333,0.056990893
1957,38.75,0.058989041000000006
1958,158.75,0.060989040999999994
1959,169.166666665,0.06397808199999999
1960,50.0,0.068972678
1961,65.41666667,0.075461644
1962,335.41666665,0.083450685
1963,895.83333315,0.0939342465
1964,590.0,0.10990892499999999
1965,245.83333335,0.12989041099999998
1966,200.41666665,0.149890411
1967,99.999999985,0.1748356165
1968,66.66666667,0.19990892500000002
1969,74.58333333499999,0.219890411
1970,66.25,0.2448356165
1971,61.25,0.269890411
1972,35.416666665,0.299817851
1973,33.75,0.3397808215
1974,35.416666665,0.389671233
1975,30.833333330000002,0.449671233
1976,18.75,0.514681239
1977,28.08333333,0.6063333335000001
1978,27.0,0.6839269404999999
1979,15.416666665000001,0.774456621
1980,19.5,0.8819990895
1981,22.5,0.9918995435
1982,12.16666667,1.116785388
1983,9.5,1.2492328765
1984,10.4166666685,1.39181694
1985,9.4166666665,1.541680365
1986,7.6666666665,1.7015707765
1987,8.25,1.8715707765
1988,7.1160928414999995,2.0516347904999996
1989,8.0250184835,2.2414611875
1990,6.4835048195,2.439300188
1991,6.438871498,2.6529300565
1992,6.042375826000001,2.87822867
1993,6.942495726000001,3.1031105445
1994,6.411126155,3.3282007875
1995,6.276988858,3.5532910315
1996,5.756559064999999,3.778589646
1997,5.781775403,4.0034715195
1998,5.441128759,4.2285617635
1999,4.8917121795,4.4536520065000005
2000,4.380363484,4.678950621
2001,4.496871938,4.9038324945
2002,4.2685621255,5.1289227385
2003,4.1999703995,5.3540129825000005
2004,4.1313786735,5.5708727315
2005,4.062786947499999,5.7902369865
2006,3.9941952215,6.054230136999999
2007,3.9256034955,6.3199406395
2008,3.8570117694999997,6.630052367999999
2009,3.7884200435000004,6.901226484
2010,3.7198283175,7.1946506845
2011,3.6512365915,7.471965752999999
2012,3.5826448655,7.752224954
2013,3.5140531394999996,8.046694064
2014,3.4454614135000003,8.341211920500001
2015,3.3768696875,8.6367075985
2016,3.3082779615,8.931867626999999
2017,3.2396862355,9.226481691
2018,3.1710945094999996,9.5213687375
2019,3.1025027835000003,9.8162557835
2020,3.065348932,9.976594959
